(52925,14587,4.35656)
(52925,42049,5.40481)
(52925,29082,5.89792)
(52925,25583,3.88162)
(52925,2769,7.19027)
(52925,27193,4.29847)
(52925,42205,8.28694)
(52925,30405,7.26633)
(52925,4303,3.19966)
(52925,28189,1.74547)
(52925,53074,2.27118)
(52925,3305,3.72535)
(52925,4916,12.7882)
(52925,34303,4.94348)
(52925,4561,4.97553)
(52925,28289,4.70123)
(52925,22174,5.54612)
(52925,14288,4.81251)
(52925,31298,3.55364)
(52925,21925,3.9077)
(52925,36714,6.95201)
(52925,2494,4.33099)
(52925,41283,3.38807)
(52925,26822,3.52595)
(52925,49886,5.13539)
(52925,16374,4.68099)
(52925,29473,2.76374)
(52925,53329,6.01691)
(52925,4586,3.22206)
(52925,4604,4.61487)
(52925,30090,4.41229)
(52925,53086,4.58413)
(52925,37693,2.36341)
(52925,2451,3.75006)
(52925,36178,8.94741)
(52925,2213,3.54199)
(52925,24962,6.04191)
(52925,38902,6.60956)
(52925,28204,8.18115)
(52925,2961,2.12692)
(52925,21206,5.95303)
(52925,18371,6.96798)
(52925,43897,1.01512)
(52925,1627,3.46915)
(52925,33205,2.53158)
(52925,40025,4.21608)
(52925,35744,9.34137)
(52925,48684,6.08555)
(52925,6976,3.82314)
(52925,51174,5.5844)
(52925,32084,3.61624)
(52925,25373,2.00712)
(52925,8028,7.32524)
(52925,19054,6.10464)
(52925,32228,5.81403)
(52925,5745,8.61337)
(52925,5364,5.99217)
(52925,23008,5.87019)
(52925,50349,4.47073)
(52925,23591,3.47837)
(52925,4395,11.6218)
(52925,36480,1.15793)
(52925,50238,3.32096)
(52925,50513,5.27915)
(52925,4408,6.22091)
(52925,32306,6.11781)
(52925,7887,6.99068)
(52925,48029,5.67891)
(52925,10670,6.83456)
(52925,29098,4.15518)
(52925,19340,2.73409)
(52925,49674,5.21791)
(52925,10832,4.21033)
(52925,46964,6.86148)
(52925,40509,1.80756)
(52925,26683,5.36426)
(52925,43726,4.2714)
(52925,39377,3.58984)
(52925,15773,4.87702)
(52925,43856,6.21735)
(52925,19669,3.5269)
(52925,26155,3.75908)
(52925,40537,1.71066)
(52925,30562,7.67286)
(52925,21113,0.31631)
